"","dclientes"
"1",0.0447929076836609
"2",0.0447975078316645
"3",0.0448113216418384
"4",0.0448343888380806
"5",0.0448667743850927
"6",0.0449085666495041
"7",0.0449598748725975
"8",0.045020826000671
"9",0.0450915609306638
"10",0.0451722302391292
"11",0.0452629894717789
"12",0.0453639940784529
"13",0.0454753940843728
"14",0.0455973285927921
"15",0.0457299202166066
"16",0.0458732695370975
"17",0.0460274496867652
"18",0.0461925011502116
"19",0.046368426872335
"20",0.0465551877568273
"21",0.0467526986302641
"22",0.0469608247381205
"23",0.0471793788290463
"24",0.0474081188728959
"25",0.047646746446576
"26",0.0478949058099837
"27",0.0481521836824031
"28",0.0484181097179474
"29",0.0486921576672191
"30",0.0489737472015134
"31",0.0492622463658316
"32",0.0495569746178594
"33",0.0498572064020735
"34",0.0501621752013704
"35",0.0504710780031794
"36",0.0507830801129681
"37",0.051097320245416
"38",0.0514129158223088
"39",0.0517289684063535
"40",0.0520445692015782
"41",0.0523588045536514
"42",0.0526707613872324
"43",0.0529795325221942
"44",0.0532842218161026
"45",0.0535839490865128
"46",0.0538778547732875
"47",0.0541651043080724
"48",0.0544448921651085
"49",0.0547164455745431
"50",0.0549790278861702
"51",0.0552319415779295
"52",0.0554745309094023
"53",0.0557061842258411
"54",0.0559263359228813
"55",0.0561344680859309
"56",0.056330111821282
"57",0.0565128482982187
"58",0.0566823095228138
"59",0.0568381788647361
"60",0.0569801913582857
"61",0.0571081337980992
"62",0.0572218446486034
"63",0.0573212137844395
"64",0.0574061820768356
"65",0.0574767408383876
"66",0.0575329311360221
"67",0.0575748429791861
"68",0.0576026143876357
"69",0.0576164303406892
"70",0.0576165216075574
"71",0.0576031634564575
"72",0.0575766742387081
"73",0.0575374138429595
"74",0.0574857820141666
"75",0.0574222165318747
"76",0.0573471912428743
"77",0.0572612139442641
"78",0.0571648241144245
"79",0.0570585904912853
"80",0.0569431084995314
"81",0.0568189975309458
"82",0.0566868980848712
"83",0.0565474687786912
"84",0.056401383241206
"85",0.0562493269047084
"86",0.0560919937143754
"87",0.0559300827761879
"88",0.0557642949668936
"89",0.055595329531477
"90",0.0554238806951224
"91",0.0552506343177067
"92",0.0550762646194053
"93",0.0549014310060039
"94",0.0547267750219823
"95",0.0545529174583734
"96",0.0543804556408189
"97",0.0542099609211795
"98",0.0540419763935533
"99",0.0538770148526681
"100",0.0537155570094028
"101",0.053558049974743
"102",0.0534049060198453
"103",0.053256501616178
"104",0.0531131767559824
"105",0.0529752345496599
"106",0.0528429410931954
"107",0.0527165255954655
"108",0.0525961807523026
"109",0.0524820633515591
"110",0.0523742950911804
"111",0.0522729635904846
"112",0.052178123573492
"113",0.0520897982022446
"114",0.0520079805376194
"115",0.0519326351051388
"116",0.0518636995437048
"117",0.0518010863159886
"118",0.0517446844603478
"119",0.0516943613655767
"120",0.0516499645514518
"121",0.0516113234398679
"122",0.0515782511032942
"123",0.0515505459792671
"124",0.0515279935416047
"125",0.0515103679209329
"126",0.0514974334689007
"127",0.05148894626209
"128",0.0514846555430643
"129",0.0514843050972191
"130",0.0514876345650913
"131",0.0514943806905343
"132",0.0515042785056911
"133",0.0515170624539982
"134",0.0515324674525576
"135",0.0515502298951469
"136",0.051570088596932
"137",0.0515917856816386
"138",0.0516150674115705
"139",0.0516396849604666
"140",0.0516653951288113
"141",0.051691961000884
"142",0.0517191525425843
"143",0.0517467471389326
"144",0.0517745300701293
"145",0.0518022949251844
"146",0.0518298439523958
"147",0.0518569883463688
"148",0.0518835484718044
"149",0.0519093540249416
"150",0.0519342441342765
"151",0.0519580674029841
"152",0.0519806818962938
"153",0.0520019550778895
"154",0.0520217637001741
"155",0.0520399936539296
"156",0.0520565397834751
"157",0.0520713056738484
"158",0.0520842034167894
"159",0.0520951533623564
"160",0.0521040838628583
"161",0.0521109310154204
