CD_ESTRUTURA_COMERCIAL;CD_DIA_CICLO;CD_SEMANA_CICLO;CD_CICLO;RB;PUNTOS
300000491;10;2;201616;22044.87;1746
300000950;18;3;201616;60708.49;4711
300000491;19;3;201616;49738.86;3880
300000805;21;3;201607;140001.25;13557
300000491;21;3;201607;146805.49;13600
300000491;5;1;201603;26726.62;3981
300000443;5;1;201603;26719.21;3789
300000491;;;201602;2843.88;410
300000950;9;2;201611;21913.36;2037
300000950;17;3;201503;42525.28;7981
300000805;19;3;201503;15283.1;2792
300000951;9;2;201704;35938;2937
300000491;25;4;201703;3180.6;228
300000443;22;4;201703;189078.56;15306
300000443;16;3;201606;29750.52;3036
300000491;7;1;201715;29272.9;2127
300000443;13;2;201615;50452.11;4924
300000805;16;3;201517;23011.13;2975
300000951;1;1;201606;24421.5;2547
300000951;21;3;201605;77894.11;7868
300000491;13;2;201713;58527.49;4010
300000951;18;3;201711;40408.41;3243
300000951;14;2;201713;63061.21;3762
300000805;4;1;201608;10042.82;1023
300000805;5;1;201608;8285.41;913
300000491;21;3;201514;14382.6;2062
300000491;8;2;201803;33413.03;2266
300000805;19;3;201514;4047.87;602
300000491;22;4;201514;35674.41;4747
300000443;21;3;201612;142106.86;12872
300000443;8;2;201703;9485.3;718
300000951;14;2;201513;28835.62;2750
300000950;8;2;201513;18238.96;2102
300000443;2;1;201515;17861.61;2557
300000443;3;1;201515;20081.49;2755
300000443;4;1;201617;2647.11;247
300000805;5;1;201617;5672.41;537
300000951;19;3;201606;26089.73;2681
300000950;14;2;201617;243670.51;24060
300000951;7;1;201604;3089.06;356
300000951;8;2;201604;10672.52;1290
300000491;16;3;201513;35789.28;4130
300000443;16;3;201513;35176.43;3784
300001309;25;4;201714;19211.88;1421
300000443;20;3;201707;96955.48;7316
300000805;13;2;201707;127870.86;6844
300000951;7;1;201615;77965.59;6635
300000443;6;1;201615;53703.31;5068
300000950;16;3;201711;98568.47;7880
300000951;15;3;201709;85609;6947
300000443;18;3;201709;14290.58;1119
300000443;3;1;201710;14411.68;1020
300000805;10;2;201710;28223.7;2355
300000805;11;2;201603;6222.5;984
300000491;1;1;201514;30284.41;4212
300000491;6;1;201505;5020.16;751
300000950;2;1;201505;18612.74;1694
300000805;10;2;201616;24913.89;1964
300000805;11;2;201615;22385.64;2129
300000950;6;1;201502;23646.77;4320
300000951;14;2;201507;16670.28;2341
300000491;8;2;201507;8457.23;1253
300000443;15;3;201709;35030.79;2823
300000805;15;3;201707;88626.75;6008
300000950;6;1;201708;31032.18;2779
300000491;11;2;201705;15315.9;1192
300000950;2;1;201603;18595.57;2801
300000443;8;2;201610;28841.92;2928
300000443;7;1;201610;34346.32;3518
300000950;14;2;201611;82980.9;7638
300000491;14;2;201611;54048.99;4917
300000443;23;4;201702;53200.97;4659
300000950;15;3;201702;64552.36;5469
300000805;9;2;201603;16531.5;2510
300000491;9;2;201603;12910.02;1861
300000951;13;2;201606;31460.6;3173
300000491;11;2;201606;15292.8;1547
300000491;27;4;201514;37702.78;5300
300000443;25;4;201514;18663.77;2661
300000951;6;1;201515;12726.72;1876
300000491;1;1;201608;17509.23;1823
300000950;9;2;201616;102979.28;5468
300000950;10;2;201712;34054.87;2464
300001309;19;3;201802;7305.5;547
300000950;1;1;201713;25525.5;2085
300000950;20;3;201508;84067.39;13949
300000805;13;2;201705;9605.6;789
300000491;7;1;201708;27634.41;2636
300001309;13;2;201803;21025.21;1439
300000950;10;2;201707;24646.96;1747
300000491;15;3;201710;51873.05;4283
300000491;11;2;201710;13578.87;1119
300000950;17;3;201614;44348.89;3592
300000950;8;2;201706;25885.14;2050
300000491;19;3;201501;3918.47;751
300000950;20;3;201501;99563.83;18193
300000805;19;3;201501;7710.23;1468
300000805;7;1;201605;13311.95;1343
300000443;10;2;201717;27879.77;1717
300000443;25;4;201602;9804.6;1385
300000491;26;4;201602;3362.83;448
300000950;28;4;201602;35683.48;4982
300000491;21;3;201615;92371.22;8877
300000951;6;1;201606;7353.5;772
300000950;20;3;201605;164051.28;16477
300000491;20;3;201605;25252;2578
300000950;9;2;201803;38712.41;2707
300000805;12;2;201803;21199.51;1458
300000950;7;1;201714;58817.73;3966
300000443;16;3;201713;57888.7;3774
300000443;17;3;201713;40966.67;2683
300000951;8;2;201610;13526.6;1395
300000491;1;1;201610;34451.5;3577
300000443;1;1;201711;27592.72;2180
300000443;21;3;201710;35108.98;2741
300000951;21;3;201710;157435.95;12609
300000805;9;2;201613;32440.06;2397
300000805;20;3;201713;363500.72;26025
300000950;9;2;201715;34087.4;2416
300000950;13;2;201717;259795.81;18063
300000951;20;3;201716;261623.75;16042
300000443;20;3;201716;186951.84;11298
300000950;20;3;201610;158379.38;16154
300000443;21;3;201610;154613.04;15991
300000950;21;3;201610;128045.13;13223
300000491;2;1;201701;12302.23;1284
300000491;9;2;201611;23781.16;2183
300000950;23;4;201509;22792.16;3748
300000491;17;3;201509;17890.19;2808
300001309;1;1;201715;15760.7;1192
300000950;7;1;201504;25446.2;4482
300000443;6;1;201504;22620.05;3934
300000950;13;2;201514;120188.84;18298
300000443;12;2;201514;14782.23;2249
300000805;3;1;201709;15996.46;1244
300000805;16;3;201708;88464.91;7605
300000951;21;3;201715;152826.46;11212
300000805;8;2;201512;32700.93;5342
300000951;14;2;201512;18036.01;3060
300000491;9;2;201605;29848.05;3013
300000950;9;2;201605;30699.05;3087
300001309;5;1;201709;5335.3;426
300001309;4;1;201708;13057;1217
300001309;13;2;201710;18494;1477
300000951;13;2;201516;29784.06;3648
300000491;15;3;201604;27839.24;3394
300000951;1;1;201605;38560.25;3921
300000805;28;4;201509;103157.66;16392
300000491;3;1;201506;7952.17;1338
300000443;8;2;201602;31450;3936
300000950;13;2;201612;76250.3;6763
300000950;7;1;201702;28924.61;2653
300000491;21;3;201516;81960.91;10836
300000491;1;1;201517;35779.04;4732
300000951;18;3;201610;25076.02;2530
300000805;4;1;201614;5158.3;468
300001309;7;1;201717;42173.16;2748
300000805;6;1;201703;3531.58;295
300000950;1;1;201510;58326.81;10055
300000805;28;4;201602;9027.12;1318
300000951;11;2;201601;8626.11;1239
300000443;3;1;201601;3088.4;421
300000491;14;2;201617;133760.47;13085
300000951;21;3;201702;56589.13;4794
300000443;20;3;201606;129638.47;13324
300000443;3;1;201508;11614.18;1980
300000443;8;2;201709;16775.5;1345
300000805;7;1;201710;35649.07;2977
300000805;14;2;201707;60936.04;3559
300000491;7;1;201803;13645.8;972
300000805;3;1;201617;7843.12;594
300000805;4;1;201616;512198.81;23677
300001309;13;2;201714;137649.19;9537
300000950;16;3;201516;27974.19;3725
300000950;18;3;201516;18658.95;2065
300000491;19;3;201516;9768.29;1206
300000805;18;3;201516;34352.02;3853
300000443;15;3;201509;51457.2;7799
300000491;16;3;201509;29184.71;4061
300000443;;;201612;1256.5;117
300000443;;;201708;18644.02;1606
300000951;16;3;201706;63444.86;5136
300001309;16;3;201706;31027.97;2494
300000491;14;2;201802;137239.7;10114
300000951;14;2;201802;142650.17;10025
300001309;11;2;201802;17508.49;1301
300000491;20;3;201802;32332.8;2275
300000805;9;2;201608;15270.78;1619
300000443;8;2;201614;55144.98;4866
300000491;21;3;201609;83393.84;8342
300000443;20;3;201609;155878.63;15778
300000805;1;1;201616;17605.27;1618
300000491;5;1;201614;5829.58;561
300000443;22;4;201502;17445.46;3404
300001309;3;1;201706;7393.69;602
300000950;6;1;201512;10702.2;1743
300000443;6;1;201512;11121.81;1643
300000951;13;2;201512;11671.21;1926
300001309;19;3;201801;29401.95;2182
300000491;2;1;201602;10637.43;1424
300000443;17;3;201801;40312.8;3038
300000950;20;3;201710;252914.37;20832
300000805;18;3;201803;53114.36;3704
300000950;9;2;201717;50056.54;3332
300000950;2;1;201717;15919.29;894
300000951;17;3;201504;22481.17;3694
300000805;12;2;201504;8516.12;1443
300000950;10;2;201504;15330.12;2733
300000951;11;2;201603;11558.67;1638
300000950;3;1;201603;6586.95;1016
300000805;2;1;201701;15757.61;1731
300000491;17;3;201617;1663.2;193
300000491;3;1;201802;4156.41;303
300000443;9;2;201510;27943.12;4667
300000491;14;2;201604;33240.43;4079
300000950;13;2;201604;34691.17;4161
300000950;3;1;201612;15338.29;1452
300000951;10;2;201709;18814.65;1495
300001309;8;2;201707;14562.89;1107
300000951;25;4;201602;9915.93;1346
300000950;11;2;201506;37577.92;6269
300000491;7;1;201714;33473.38;2361
300000443;26;4;201714;43934.59;3235
300000951;10;2;201505;9323.1;1486
300000951;12;2;201505;2718.9;444
300000491;8;2;201505;3718;618
300000950;3;1;201505;7464.18;1291
300000950;13;2;201510;37071.38;5952
300000443;3;1;201506;12282.79;2005
300000951;23;4;201713;11705.06;774
300000443;28;4;201705;1379.9;81
300000950;13;2;201706;55710.06;4494
300000950;23;4;201502;16262.53;2918
300000951;16;3;201602;14565.8;2032
300000951;1;1;201612;16611.24;1510
300000951;12;2;201511;11367.93;1706
300000950;6;1;201511;21955.62;3705
300000805;7;1;201511;15796.81;2642
300000805;9;2;201517;30127.27;3987
300000443;12;2;201607;9222.01;775
300000951;19;3;201607;52085.49;4993
300000950;28;4;201514;104692.76;15506
300000443;9;2;201708;10534.92;835
300000950;22;4;201610;2478.4;279
300000443;14;2;201702;109998.12;10011
300000805;15;3;201702;60154.53;5114
300000950;20;3;201515;126080.55;17755
